,6.37,-501125
177,00:13,6.36,-501102
177,00:13,6.37,-501149
177,00:13,6.37,-501037
177,00:13,6.38,-501095
177,00:13,6.37,-501050
177,00:13,6.37,-501158
177,00:13,6.37,-500938
177,00:13,6.38,-501023
177,00:13,6.39,-501047
177,00:13,6.36,-501066
177,00:13,6.36,-501142
177,00:13,6.38,-500964
177,00:14,6.36,-501112
177,00:14,6.35,-501293
177,00:14,6.36,-501113
177,00:14,6.38,-501039
177,00:14,6.37,-501004
177,00:14,6.38,-501111
177,00:14,6.37,-501093
177,00:14,6.38,-500998
177,00:14,6.38,-501015
177,00:14,6.38,-501002
177,00:14,6.36,-501268
177,00:14,6.36,-501145
177,00:14,6.37,-501031
177,00:14,6.37,-501054
177,00:14,6.37,-501193
177,00:14,6.39,-500916
177,00:14,6.38,-501107
177,00:14,6.37,-501029
177,00:14,6.37,-501081
177,00:14,6.37,-501089
177,00:14,6.37,-501077
177,00:14,6.37,-501049
177,00:14,6.38,-500981
177,00:14,6.37,-501060
177,00:14,6.37,-501082
177,00:14,6.38,-500946
177,00:14,6.38,-501028
177,00:14,6.38,-500989
177,00:14,6.37,-501189
177,00:14,6.37,-501100
177,00:14,6.37,-501016
177,00:14,6.37,-501052
177,00:14,6.36,-501213
177,00:14,6.38,-501009
177,00:14,6.38,-501098
177,00:14,6.37,-501153
177,00:14,6.37,-500997
177,00:14,6.37,-501192
177,00:14,6.35,-501128
177,00:14,6.37,-501045
177,00:15,6.37,-501157
177,00:15,6.37,-501074
177,00:15,6.36,-501178
177,00:15,6.37,-501101
177,00:15,6.36,-501197
177,00:15,6.36,-501151
177,00:15,6.36,-501333
177,00:15,6.35,-501007
177,00:15,6.38,-501087
177,00:15,6.38,-501072
177,00:15,6.36,-501052
177,00:15,6.36,-501260
177,00:15,6.38,-501001
177,00:15,6.38,-500989
177,00:15,6.37,-500988
177,00:15,6.37,-501139
177,00:15,6.37,-501111
177,00:15,6.37,-501091
177,00:15,6.36,-501083
177,00:15,6.37,-501138
177,00:15,6.37,-500975
177,00:15,6.38,-501013
177,00:15,6.37,-501049
177,00:15,6.37,-501195
177,00:15,6.36,-501064
177,00:15,6.37,-501097
177,00:15,6.38,-501065
177,00:15,6.36,-501183
177,00:15,6.37,-501105
177,00:15,6.36,-501149
177,00:15,6.38,-501044
177,00:15,6.37,-501086
177,00:15,6.37,-501076
177,00:15,6.38,-500997
177,00:15,6.38,-501082
177,00:15,6.37,-501042
177,00:15,6.38,-501018
177,00:15,6.38,-501098
177,00:15,6.38,-500984
177,00:16,6.37,-501057
177,00:16,6.37,-501096
177,00:16,6.37,-501032
177,00:16,6.37,-501029
177,00:16,6.38,-501022
177,00:16,6.38,-500910
177,00:16,6.38,-501028
177,00:16,6.37,-501165
177,00:16,6.36,-501075
177,00:16,6.38,-501165
177,00:16,6.36,-501072
177,00:16,6.36,-501127
177,00:16,6.38,-500945
177,00:16,6.39,-500944
177,00:16,6.39,-501011
177,00:16,6.37,-501025
177,00:16,6.37,-501179
177,00:16,6.37,-501002
177,00:16,6.37,-501199
177,00:16,6.36,-501029
177,00:16,6.36,-501193
177,00:16,6.36,-501075
177,00:16,6.37,-501100
177,00:16,6.36,-501229
177,00:16,6.36,-501181
177,00:16,6.36,-501181
177,00:16,6.35,-501201
177,00:16,6.38,-500909
177,00:16,6.40,-500851
177,00:16,6.37,-501094
177,00:16,6.37,-501169
177,00:16,6.35,-500983
177,00:16,6.38,-501031
177,00:16,6.40,-500628
177,00:16,6.45,-499787
177,00:16,6.57,-498285
177,00:16,6.80,-495794
177,00:16,7.05,-493569
177,00:16,7.31,-491098
177,00:16,7.61,-487732
177,00:16,8.06,-481964
177,00:17,8.77,-475164
177,00:17,9.51,-468251
177,00:17,10.28,-460740
177,00:17,11.15,-452452
177,00:17,11.94,-446022
177,00:17,12.56,-440500
177,00:17,13.31,-435611
177,00:17,13.30,-438023
177,00:17,12.89,-442345
177,00:17,12.42,-446962
177,00:17,11.86,-453069
177,00:17,11.12,-460803
177,00:17,10.21,-470051
177,00:17,9.20,-479143
177,00:17,8.24,-487721
177,00:17,7.46,-493292
177,00:17,7.01,-496313
177,00:17,6.80,-497736
177,00:17,6.65,-499165
177,00:17,6.52,-499983
177,00:17,6.47,-500518
177,00:17,6.41,-500953
177,00:17,6.37,-501036
177,00:17,6.38,-501077
177,00:17,6.36,-501190
177,00:17,6.34,-501622
177,00:17,6.29,-501990
177,00:17,6.27,-502231
177,00:17,6.25,-502171
177,00:17,6.24,-502168
177,00:17,6.27,-502084
177,00:17,6.27,-501958
177,00:17,6.28,-501908
177,00:17,6.29,-501788
177,00:17,6.29,-501850
177,00:17,6.30,-501752
177,00:17,6.31,-501651
177,00:17,6.31,-501564
177,00:17,6.32,-501574
177,00:18,6.31,-501600
177,00:18,6.30,-501767
177,00:18,6.31,-501640
177,00:18,6.32,-501505
177,00:18,6.32,-501619
177,00:18,6.31,-501504
177,00:18,6.32,-501466
177,00:18,6.34,-501350
177,00:18,6.34,-501270
177,00:18,6.35,-501205
177,00:18,6.37,-501072
177,00:18,6.36,-501142
177,00:18,6.37,-501119
177,00:18,6.38,-500836
177,00:18,6.38,-501194
177,00:18,6.36,-501204
177,00:18,6.35,-501130
177,00:18,6.37,-501040
177,00:18,6.39,-500927
177,00:18,6.37,-500996
177,00:18,6.41,-500761
177,00:18,6.39,-500905
177,00:18,6.39,-500793
177,00:18,6.41,-500728
177,00:18,6.40,-500764
177,00:18,6.42,-500497
177,00:18,6.42,-500576
177,00:18,6.41,-500669
177,00:18,6.41,-500698
177,00:18,6.42,-500686
177,00:18,6.42,-500608
177,00:18,6.42,-500595
177,00:18,6.42,-500657
177,00:18,6.42,-500618
177,00:18,6.43,-500451
177,00:18,6.44,-500470
177,00:18,6.45,-500333
177,00:18,6.44,-500492
177,00:18,6.44,-500415
177,00:18,6.44,-500488
177,00:19,6.43,-500514
