0861
177,02:20,6.39,-501008
177,02:20,6.37,-500968
177,02:20,6.38,-501026
177,02:20,6.38,-500952
177,02:20,6.38,-500990
177,02:20,6.37,-501117
177,02:20,6.37,-501058
177,02:20,6.37,-501066
177,02:20,6.36,-501154
177,02:20,6.37,-501049
177,02:20,6.37,-500997
177,02:20,6.37,-501034
177,02:20,6.38,-500963
177,02:20,6.37,-501164
177,02:20,6.37,-501012
177,02:20,6.37,-500986
177,02:20,6.37,-501126
177,02:20,6.36,-501085
177,02:20,6.37,-501038
177,02:20,6.37,-501077
177,02:20,6.38,-500982
177,02:20,6.38,-500892
177,02:20,6.38,-500973
177,02:20,6.38,-500949
177,02:20,6.39,-501048
177,02:20,6.37,-501081
177,02:20,6.37,-500975
177,02:20,6.38,-501001
177,02:20,6.38,-501055
177,02:20,6.36,-501101
177,02:20,6.37,-501014
177,02:20,6.38,-501025
177,02:20,6.38,-501138
177,02:21,6.36,-501104
177,02:21,6.36,-501062
177,02:21,6.36,-501218
177,02:21,6.35,-501116
177,02:21,6.36,-501185
177,02:21,6.38,-500993
177,02:21,6.37,-500973
177,02:21,6.38,-500943
177,02:21,6.39,-500978
177,02:21,6.38,-501153
177,02:21,6.36,-501060
177,02:21,6.37,-501020
177,02:21,6.38,-501125
177,02:21,6.37,-501163
177,02:21,6.36,-500918
177,02:21,6.39,-501063
177,02:21,6.36,-501096
177,02:21,6.36,-501130
177,02:21,6.36,-501204
177,02:21,6.37,-501177
177,02:21,6.38,-501009
177,02:21,6.37,-501106
177,02:21,6.38,-501091
177,02:21,6.36,-501097
177,02:21,6.36,-501262
177,02:21,6.36,-501113
177,02:21,6.36,-501112
177,02:21,6.37,-500976
177,02:21,6.37,-500951
177,02:21,6.39,-501127
177,02:21,6.37,-500948
177,02:21,6.38,-501037
177,02:21,6.36,-501080
177,02:21,6.38,-501076
177,02:21,6.36,-501109
177,02:21,6.37,-501080
177,02:21,6.37,-501103
177,02:21,6.37,-500991
177,02:21,6.38,-501112
177,02:21,6.36,-501060
177,02:22,6.38,-501075
177,02:22,6.36,-501133
177,02:22,6.37,-501218
177,02:22,6.36,-500961
177,02:22,6.38,-500912
177,02:22,6.36,-501068
177,02:22,6.38,-501051
177,02:22,6.37,-500965
177,02:22,6.38,-501104
177,02:22,6.37,-501027
177,02:22,6.38,-500941
177,02:22,6.37,-501074
177,02:22,6.38,-501150
177,02:22,6.34,-501153
